"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_leveldb_run2.csv 1",,,,"Date:","23 Jul 2026 14:07:52 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:07:52,,9697060,49409896,133720,5295112,,,,
23-07 14:07:53,21.621,0.625,76.610,0.875,0,9717952,49382004,133768,5302280,0,16924.639,0,107.979,305.939,89.982
23-07 14:07:54,24.000,0.500,74.625,0.625,0,9716608,49368432,133788,5316780,0,13768.003,0,85.000,0,0
23-07 14:07:55,23.626,0.625,74.752,1.250,0,9724308,49372848,133840,5304820,0,20764.443,0,167.004,0,0
23-07 14:07:56,24.000,0.250,74.500,0.875,0,9717176,49364896,133860,5319644,0,16328.044,0,104.000,0,0
23-07 14:07:57,23.375,0.625,74.625,1.500,0,9722912,49372236,133896,5306796,0,18503.952,0,122.000,0,0
23-07 14:07:58,23.875,0.375,74.375,1.125,0,9714188,49383208,133924,5304580,0,17691.983,0,109.000,0,0
23-07 14:07:59,22.500,0.875,74.749,1.750,0,9712520,49375424,134012,5313792,0,27991.712,0,177.998,0,0
23-07 14:08:00,23.249,0.750,74.498,1.750,0,9703768,49375612,134060,5322052,0,28063.378,0,167.996,75.998,89.998
23-07 14:08:01,23.624,0.625,74.622,1.125,0,9699984,49386472,134096,5315052,0,16223.290,0,109.995,0,0
23-07 14:08:02,23.501,0.625,74.504,1.125,0,9714336,49364580,134120,5322000,0,20889.020,0,126.006,0,0
23-07 14:08:03,12.376,1.000,84.507,2.000,0,9705788,49383228,134212,5312448,0,19637.692,0,174.015,0,0
23-07 14:08:04,11.500,0.875,85.877,1.750,0,9698944,49388100,134316,5314296,0,21620.462,0,148.003,0,0
23-07 14:08:05,11.374,1.625,83.371,3.375,0,9706936,49385328,134404,5308980,0,31178.521,0,270.987,0,0
23-07 14:08:06,11.500,0.500,86.879,1.000,0,9692568,49391884,134436,5316608,0,20128.863,0,111.005,0,0
23-07 14:08:07,11.625,1.625,83.498,3.375,0,9707140,49377368,134568,5316552,0,33307.097,0,278.992,0,0
23-07 14:08:08,12.001,0.250,86.006,1.250,0,9697328,49379028,134592,5324436,0,20193.504,0,131.010,0,0
23-07 14:08:09,11.248,0.875,86.238,1.750,0,9704056,49382748,134628,5314108,0,21625.004,0,144.980,0,0
23-07 14:08:10,10.876,2.000,83.885,3.125,0,9716764,49370212,134720,5313672,0,34880.003,0,275.032,0,0
23-07 14:08:11,11.750,0.875,85.503,1.750,0,9701928,49374752,134764,5324008,0,21976.779,0,157.006,0,0
23-07 14:08:12,11.875,1.375,84.748,2.375,0,9705772,49370332,134848,5324324,0,29391.396,0,212.996,0,0
23-07 14:08:13,23.250,0.625,74.500,1.250,0,9724556,49351928,134924,5323880,0,22072.146,0,140.001,0,0
23-07 14:08:14,23.750,0.750,74.374,1.125,0,9711276,49344864,134948,5343704,0,18871.784,0,113.999,0,0
23-07 14:08:15,23.625,0.625,74.501,1.000,0,9716468,49353800,134980,5329940,0,17880.234,0,110.001,0,0
23-07 14:08:16,22.375,1.125,74.499,1.750,0,9710480,49364588,135036,5325184,0,28255.568,0,182.997,0,0
23-07 14:08:17,23.125,0.625,74.626,1.750,0,9708400,49366216,135068,5325552,0,23996.239,0,154.002,76.001,90.001
23-07 14:08:18,23.500,0.625,74.500,1.250,0,9704328,49371260,135076,5324436,0,21399.919,0,136.999,0,0
23-07 14:08:19,24.000,0.500,74.751,1.000,0,9702036,49366988,135088,5330960,0,17836.180,0,109.001,0,0
23-07 14:08:20,23.374,0.500,74.248,1.375,0,9728520,49351816,135120,5319612,0,21975.303,0,138.996,0,0
23-07 14:08:21,24.001,0.500,74.377,1.000,0,9716780,49345396,135156,5337552,0,17000.411,0,104.003,0,0
23-07 14:08:22,21.874,1.000,75.123,2.000,0,9721864,49354848,135212,5323244,0,27615.275,0,177.995,0,0
23-07 14:08:23,12.251,0.125,87.132,0.125,0,9717220,49351192,135224,5331416,0,8564.641,0,46.003,0,0
