"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_leveldb_run3.csv 1",,,,"Date:","23 Jul 2026 14:08:24 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:08:24,,9683644,49400788,135232,5315720,,,,
23-07 14:08:25,21.123,0.750,76.742,1.250,0,9709452,49365556,135248,5324876,0,20085.906,0,123.987,229.976,161.983
23-07 14:08:26,23.875,0.500,74.626,1.000,0,9717084,49340456,135264,5341920,0,16188.121,0,103.001,0,0
23-07 14:08:27,22.999,0.875,74.746,1.375,0,9719940,49348704,135284,5330996,0,22226.946,0,170.992,0,0
23-07 14:08:28,23.251,0.875,74.627,1.250,0,9695000,49370956,135320,5333712,0,24964.600,0,156.004,0,0
23-07 14:08:29,23.373,0.750,74.367,1.625,0,9709488,49358320,135364,5331732,0,22445.649,0,140.985,0,0
23-07 14:08:30,23.377,0.500,74.630,1.250,0,9706696,49357968,135408,5334660,0,21469.466,0,134.009,0,0
23-07 14:08:31,23.875,0.750,74.374,1.125,0,9698300,49363060,135436,5338052,0,18255.747,0,111.998,0,0
23-07 14:08:32,23.125,0.625,74.750,1.625,0,9697480,49373880,135500,5328228,0,23283.996,0,150.000,0,0
23-07 14:08:33,23.125,0.625,74.500,1.625,0,9707960,49354420,135536,5336964,0,24512.029,0,153.000,0,0
23-07 14:08:34,23.748,0.375,74.494,1.125,0,9705736,49354576,135552,5338956,0,19178.395,0,119.990,75.994,89.992
23-07 14:08:35,14.126,1.375,82.007,2.750,0,9716920,49354768,135596,5327776,0,24842.080,0,216.018,0,0
23-07 14:08:36,11.876,0.250,86.883,0.875,0,9706400,49346660,135604,5345928,0,17201.492,0,90.008,0,0
23-07 14:08:37,11.250,1.125,84.997,1.875,0,9717328,49347896,135640,5333964,0,24975.122,0,186.993,0,0
23-07 14:08:38,12.000,0.500,87.128,0.750,0,9716904,49352192,135652,5330048,0,16720.640,0,94.004,0,0
23-07 14:08:39,11.625,1.000,85.248,2.125,0,9709260,49350208,135676,5339628,0,24555.466,0,178.996,0,0
23-07 14:08:40,11.499,0.875,85.739,1.625,0,9721412,49347088,135716,5330532,0,22833.110,0,167.979,0,0
23-07 14:08:41,10.874,1.500,83.866,3.750,0,9733368,49333748,135788,5331840,0,33996.476,0,279.971,0,0
23-07 14:08:42,10.627,1.875,84.389,3.000,0,9746672,49310048,135828,5342116,0,34865.737,0,258.042,0,0
23-07 14:08:43,11.251,1.500,83.380,3.625,0,9753872,49308148,135860,5336928,0,31977.898,0,279.017,0,0
23-07 14:08:44,11.124,1.375,84.490,2.750,0,9743820,49312364,135904,5342580,0,36179.877,0,254.971,0,0
23-07 14:08:45,22.374,0.500,76.121,1.000,0,9736404,49315196,135920,5347096,0,15055.193,0,98.995,0,0
23-07 14:08:46,22.749,0.875,74.621,1.875,0,9732008,49314156,135984,5352272,0,28374.519,0,174.991,0,0
23-07 14:08:47,23.875,0.625,74.375,1.125,0,9715176,49334828,136012,5348500,0,16807.981,0,107.000,0,0
23-07 14:08:48,22.377,1.125,74.632,2.250,0,9699360,49352784,136060,5346292,0,31090.932,0,190.018,0,0
23-07 14:08:49,23.498,0.625,74.495,1.000,0,9709564,49340648,136092,5348228,0,22230.486,0,134.991,0,0
23-07 14:08:50,22.502,1.125,74.630,1.875,0,9709028,49337932,136128,5351468,0,31790.234,0,194.014,76.005,90.006
23-07 14:08:51,23.001,0.875,74.377,1.625,0,9719484,49332416,136144,5346572,0,23276.635,0,150.004,28.001,42.001
23-07 14:08:52,23.000,0.625,74.501,1.625,0,9726480,49324484,136200,5347396,0,23416.466,0,149.003,0,0
23-07 14:08:53,23.500,0.750,74.751,1.250,0,9726176,49319412,136220,5352628,0,20088.326,0,126.002,0,0
23-07 14:08:54,21.875,0.875,75.125,2.000,0,9753912,49295804,136260,5348260,0,27987.920,0,182.999,0,0
23-07 14:08:55,12.251,0.125,87.136,0.250,0,9739704,49300832,136260,5357396,0,8629.052,0,45.005,0,0
