"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_rocksdb_run3.csv 1",,,,"Date:","23 Jul 2026 14:06:38 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:06:38,,9895132,50442296,132076,4098324,,,,
23-07 14:06:39,9.874,1.375,87.114,1.250,0,9992228,50282812,132076,4159200,0,60964.014,0,239.969,183.976,0
23-07 14:06:40,17.375,2.125,78.998,1.625,0,10072856,50334116,132080,4031000,0,67270.500,0,276.994,121.997,251.994
23-07 14:06:41,22.125,2.750,74.626,0.500,0,10055704,50335300,132080,4046568,0,11640.229,0,53.001,0,0
23-07 14:06:42,22.750,2.250,74.623,0.250,0,10036024,50606404,132084,3801440,0,11715.753,0,53.999,0,0
23-07 14:06:43,23.000,2.250,74.751,0,0,10016088,50610276,132084,3817156,0,0,0,0,0,0
23-07 14:06:44,20.625,2.625,74.624,1.625,0,9997032,50624172,132084,3822288,0,78146.785,0,323.995,0,0
23-07 14:06:45,20.625,2.500,74.501,2.250,0,9988180,50484640,132092,3966904,0,131773.508,0,522.006,0,0
23-07 14:06:46,20.125,2.625,74.750,2.500,0,9982876,50359620,132096,4093872,0,131768.376,0,522.001,0,0
23-07 14:06:47,20.624,2.250,74.746,2.500,0,9975068,50247420,132100,4210800,0,131768.896,0,521.972,27.998,41.998
23-07 14:06:48,20.750,2.250,74.377,2.250,0,9956976,50151576,132100,4321804,0,131782.793,0,522.011,76.002,90.002
23-07 14:06:49,22.001,2.500,74.502,1.000,0,9955680,50032400,132100,4439180,0,65894.005,0,261.008,0,0
23-07 14:06:50,22.123,1.875,73.370,2.000,0,10003060,49831432,132108,4588956,0,131802.487,0,523.962,0,0
23-07 14:06:51,21.873,2.625,74.494,1.000,0,10110980,49505068,132108,4801536,0,65918.298,0,261.977,315.973,139.988
23-07 14:06:52,23.879,3.125,67.261,5.876,0,10210516,49322308,132112,4882916,0,234633.511,0,928.148,104.017,283.045
23-07 14:06:53,18.999,1.750,74.122,4.625,0,10192612,49156416,132112,5061860,0,50050.267,0,226.992,0,0
23-07 14:06:54,23.747,2.125,70.242,4.125,0,10177600,48861044,132112,5364264,0,206068.423,0,811.907,0,0
23-07 14:06:55,16.377,2.875,70.633,9.626,0,10149164,49162368,132120,5098412,0,128194.405,0,518.058,0,0
23-07 14:06:56,14.875,2.375,74.002,8.750,0,10125816,48922432,132128,5354832,0,127839.643,0,506.014,76.002,90.003
23-07 14:06:57,14.626,2.125,61.877,21.251,0,10171576,48614440,132128,5610204,0,128124.706,0,504.019,0,0
23-07 14:06:58,10.375,2.375,76.374,10.750,0,10410392,48802856,132136,5193952,0,50855.667,0,213.999,0,0
23-07 14:06:59,15.999,2.875,78.493,2.500,0,10280740,48892352,132140,5233244,0,169180.364,0,668.938,0,0
23-07 14:07:00,14.501,2.375,74.630,8.376,0,10259592,48738068,132148,5404084,0,139945.539,0,556.038,0,0
23-07 14:07:01,13.250,3.625,74.628,8.500,0,10252140,48614404,132152,5531884,0,128016.455,0,506.018,0,0
23-07 14:07:02,12.375,2.750,79.875,5.125,0,10236788,48553884,132156,5605824,0,73612.328,0,303.001,0,0
23-07 14:07:03,10.625,2.125,87.126,0,0,10235688,48546828,132156,5613752,0,0,0,0,0,0
23-07 14:07:04,11.000,1.625,87.123,0,0,10231192,48543132,132156,5621708,0,0,0,0,0,0
23-07 14:07:05,10.875,2.000,87.128,0,0,10223960,48542844,132156,5629032,0,0,0,0,0,0
23-07 14:07:06,10.500,2.125,87.000,0,0,10212996,48546544,132156,5636092,0,0,0,0,0,0
23-07 14:07:07,10.625,2.375,87.248,0,0,10204964,48547552,132156,5642916,0,0,0,0,0,0
23-07 14:07:08,10.500,2.000,87.248,0,0,10205856,48539488,132156,5649900,0,135.997,0,2.000,0,0
23-07 14:07:09,11.000,1.625,87.253,0,0,10193876,48544240,132156,5657036,0,0,0,0,0,0
23-07 14:07:10,3.875,0.500,95.380,0,0,10179984,48555696,132156,5659340,0,0,0,0,0,0
