"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_rocksdb_run2.csv 1",,,,"Date:","23 Jul 2026 14:06:06 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:06:06,,10144204,49899720,131904,4384596,,,,
23-07 14:06:07,9.874,1.375,87.115,1.250,0,10271496,49710236,131908,4445276,0,60800.830,0,239.972,183.978,0
23-07 14:06:08,14.749,2.875,78.369,3.625,0,10260620,49635568,131956,4528944,0,223495.937,0,895.936,121.991,251.982
23-07 14:06:09,12.250,3.250,74.500,9.875,0,10234808,49567280,131972,4620652,0,139768.319,0,552.001,0,0
23-07 14:06:10,10.751,2.125,86.759,0.500,0,10217292,49575604,131980,4629608,0,5656.619,0,31.003,0,0
23-07 14:06:11,10.625,2.250,87.125,0,0,10185560,49598176,131980,4638516,0,0,0,0,0,0
23-07 14:06:12,10.750,2.000,87.000,0,0,10172040,49602680,131980,4647296,0,0,0,0,0,0
23-07 14:06:13,10.749,2.125,87.243,0,0,10162592,49603328,131980,4655840,0,227.983,0,28.998,0,0
23-07 14:06:14,10.876,1.875,87.008,0,0,10162196,49594916,131980,4664404,0,0,0,0,0,0
23-07 14:06:15,10.500,2.375,87.125,0,0,10161540,49586780,131980,4672968,0,0,0,0,0,0
23-07 14:06:16,10.875,2.000,87.000,0,0,10156948,49582460,131980,4681640,0,0,0,0,0,0
23-07 14:06:17,11.125,1.875,87.251,0,0,10148044,49582496,131980,4690280,0,0,0,0,0,0
23-07 14:06:18,11.249,1.625,86.868,0,0,10203212,49464632,131980,4751492,0,15.999,0,3.000,0,0
23-07 14:06:19,11.251,1.875,87.007,0,0,10311392,49239648,131980,4865092,0,0,0,0,0,0
23-07 14:06:20,14.250,3.000,79.498,3.250,0,10254416,49617084,131992,4552972,0,159695.682,0,630.983,0,0
23-07 14:06:21,11.374,1.625,86.869,0,0,10245812,49505628,131992,4669760,0,0,0,0,0,0
23-07 14:06:22,15.625,3.125,77.873,2.875,0,10153400,49543740,132004,4722936,0,145599.650,0,575.983,0,0
23-07 14:06:23,15.126,2.250,74.630,8.001,0,10141148,49288400,132020,4983524,0,169882.781,0,669.042,0,0
23-07 14:06:24,16.499,3.125,69.746,10.999,0,10163556,48913848,132024,5326436,0,128164.342,0,506.970,75.995,89.995
23-07 14:06:25,10.875,2.000,61.752,24.876,0,10265020,48700672,132040,5435240,0,128044.812,0,501.019,0,0
23-07 14:06:26,15.750,2.500,72.749,8.500,0,10252900,48689024,132040,5458780,0,128021.965,0,516.992,0,0
23-07 14:06:27,12.875,1.875,63.626,21.625,0,10229664,48509968,132048,5655460,0,127990.679,0,512.011,0,0
23-07 14:06:28,14.123,3.250,73.989,8.749,0,10103832,49329884,132056,4979224,0,125609.690,0,501.927,0,0
23-07 14:06:29,15.252,3.250,74.758,6.751,0,10090260,49154512,132056,5163544,0,113752.165,0,447.048,0,0
23-07 14:06:30,12.500,2.625,74.750,10.000,0,10091132,49066988,132056,5248104,0,145056.263,0,570.001,0,0
23-07 14:06:31,14.125,2.875,74.624,8.000,0,10082948,48927088,132056,5392188,0,127906.796,0,505.995,0,0
23-07 14:06:32,13.250,3.000,74.875,8.750,0,10069068,48812580,132056,5517264,0,128148.586,0,507.002,0,0
23-07 14:06:33,21.622,2.500,74.491,1.375,0,10057796,48807488,132064,5533188,0,13670.363,0,65.992,0,0
23-07 14:06:34,22.375,2.750,74.752,0.250,0,10072100,49707832,132068,4641740,0,9076.192,0,44.001,0,0
23-07 14:06:35,22.875,2.000,74.501,0.125,0,10061676,49700524,132068,4659028,0,10108.069,0,47.000,0,0
23-07 14:06:36,22.750,2.250,74.750,0.375,0,10053480,49860844,132072,4510760,0,10591.982,0,49.000,0,0
23-07 14:06:37,22.752,2.125,74.633,0.125,0,10076476,50127500,132072,4228460,0,11113.187,0,51.005,0,0
23-07 14:06:38,15.126,0.750,83.757,0.250,0,10075912,50261520,132076,4098308,0,11408.936,0,53.004,0,0
