"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_cassandra_run2.csv 1",,,,"Date:","23 Jul 2026 14:43:14 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:43:14,,10060196,45644256,702308,8167860,,,,
23-07 14:43:15,28.749,2.125,66.373,0,0,10077660,45626292,702308,8168384,0,8.000,0,2.000,189.994,859.971
23-07 14:43:16,15.128,2.500,79.015,0,0,10077912,45626040,702312,8168380,0,288.054,0,4.001,0,0
23-07 14:43:17,13.250,2.250,80.625,0,0,10077892,45625400,702312,8169024,0,0,0,0,0,0
23-07 14:43:18,7.000,2.750,87.126,0,0,10078136,45624764,702312,8169408,0,0,0,0,0,0
23-07 14:43:19,6.125,2.500,87.750,0,0,10078352,45624284,702312,8169664,0,0,0,0,76.000,90.000
23-07 14:43:20,7.000,2.500,87.125,0,0,10078332,45623772,702312,8170184,0,0,0,0,0,0
23-07 14:43:21,6.875,2.500,86.625,0,0,10078316,45623388,702316,8170568,0,12.000,0,2.000,0,0
23-07 14:43:22,6.125,2.875,88.127,0,0,10069456,45631848,702316,8170960,0,0,0,0,0,0
23-07 14:43:23,6.625,2.500,86.874,0,0,10069448,45631464,702316,8171344,0,0,0,0,0,0
23-07 14:43:24,6.000,3.000,87.624,0,0,10069628,45631084,702320,8171536,0,3851.974,0,33.000,0,0
23-07 14:43:25,8.375,1.750,86.748,0,0,10071044,45626776,702320,8174352,0,0,0,0,0,0
23-07 14:43:26,7.000,3.000,87.000,0,0,10071124,45623368,702324,8177616,0,48.000,0,3.000,0,0
23-07 14:43:27,7.375,2.375,86.754,0,0,10071028,45620168,702324,8180816,0,0,0,0,0,0
23-07 14:43:28,6.000,2.500,87.622,0,0,10071168,45616332,702324,8184404,0,0,0,0,0,0
23-07 14:43:29,6.625,2.625,86.627,0,0,10071120,45613132,702324,8187604,0,0,0,0,0,0
23-07 14:43:30,5.625,2.625,87.624,0,0,10071040,45609676,702324,8191060,0,0,0,0,75.999,89.999
23-07 14:43:31,6.000,2.500,87.878,0,0,10070920,45605964,702328,8194772,0,12.000,0,2.000,0,0
23-07 14:43:32,6.375,2.375,87.749,0.125,0,10070896,45602780,702344,8197844,0,25315.722,0,202.998,0,0
23-07 14:43:33,6.500,2.750,87.872,0,0,10070760,45600092,702344,8200660,0,0,0,0,0,0
23-07 14:43:34,5.750,2.375,87.878,0,0,10070600,45596124,702344,8204628,0,7604.224,0,71.002,0,0
23-07 14:43:35,11.873,2.000,83.614,0,0,10070596,45595996,702344,8204756,0,15.998,0,3.000,75.990,89.988
23-07 14:43:36,7.626,3.000,86.385,0,0,10070572,45595356,702344,8205400,0,24.003,0,3.000,0,0
23-07 14:43:37,6.500,2.250,86.875,0,0,10070572,45595356,702344,8205400,0,0,0,0,0,0
23-07 14:43:38,6.250,2.875,87.499,0,0,10070540,45594716,702344,8206040,0,0,0,0,0,0
23-07 14:43:39,5.875,2.625,87.628,0,0,10070756,45594236,702344,8206296,0,0,0,0,28.001,42.001
23-07 14:43:40,6.000,2.625,87.748,0,0,10070740,45593724,702344,8206808,0,0,0,0,0,0
23-07 14:43:41,6.875,2.125,87.627,0,0,10070732,45593596,702348,8206936,0,12.000,0,2.000,0,0
23-07 14:43:42,6.000,2.500,87.618,0,0,10070652,45593212,702356,8207376,0,3491.729,0,29.998,0,0
23-07 14:43:43,5.750,2.625,88.003,0,0,10070764,45592704,702356,8207772,0,0,0,0,0,0
23-07 14:43:44,5.625,2.250,87.872,0,0,10070748,45592128,702356,8208348,0,0,0,0,0,0
