"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_postgresql_run3.csv 1",,,,"Date:","23 Jul 2026 14:18:44 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:18:44,,9949936,45936036,696796,7997612,,,,
23-07 14:18:45,14.373,3.625,80.489,0.125,0,9969648,45916120,696796,7997880,0,95.987,0,2.000,449.940,523.931
23-07 14:18:46,7.500,3.750,86.503,0.125,0,9969296,45916152,696796,7998192,0,1656.066,0,24.001,0,0
23-07 14:18:47,7.500,3.500,86.256,0,0,9969612,45915428,696796,7998592,0,0,0,0,76.005,90.006
23-07 14:18:48,8.125,3.500,86.376,0,0,9960020,45924700,696796,7998900,0,0,0,0,0,0
23-07 14:18:49,7.499,3.625,86.744,0,0,9958044,45926244,696796,7999324,0,0,0,0,0,0
23-07 14:18:50,7.751,3.375,86.633,0,0,9956640,45927260,696796,7999700,0,0,0,0,0,0
23-07 14:18:51,7.375,3.625,86.372,0,0,9955928,45927592,696796,8000072,0,1883.933,0,9.000,0,0
23-07 14:18:52,8.250,3.375,86.252,0,0,9956080,45927120,696796,8000384,0,4.000,0,1.000,0,0
23-07 14:18:53,7.875,3.625,86.630,0,0,9955656,45927120,696796,8000796,0,0,0,0,0,0
23-07 14:18:54,7.750,3.625,86.627,0,0,9955556,45926868,696796,8001140,0,0,0,0,0,0
23-07 14:18:55,8.500,2.875,85.746,0,0,9953936,45926868,696796,8002760,0,0,0,0,0,0
23-07 14:18:56,7.751,4.125,84.882,0.500,0,9950816,45926124,696796,8006472,0,184611.962,0,1578.136,0,0
23-07 14:18:57,8.250,3.500,85.502,0,0,9948432,45925116,696796,8009780,0,0,0,0,46.001,58.001
23-07 14:18:58,7.500,4.000,85.375,0,0,9948552,45921368,696796,8013300,0,0,0,0,0,58.000
23-07 14:18:59,7.750,3.875,85.372,0,0,9950192,45916220,696796,8016720,0,0,0,0,0,0
23-07 14:19:00,7.500,4.250,85.878,0,0,9950600,45912296,696796,8020136,0,0,0,0,0,58.002
23-07 14:19:01,7.999,3.875,85.117,0,0,9949868,45909524,696796,8023552,0,15.999,0,4.000,0,0
23-07 14:19:02,8.250,3.500,85.252,0.250,0,9950188,45905744,696796,8026908,0,17556.368,0,73.002,0,0
23-07 14:19:03,7.625,3.750,85.251,0,0,9949952,45902468,696796,8030332,0,0,0,0,0,0
23-07 14:19:04,8.000,4.000,85.502,0,0,9950376,45898700,696796,8033580,0,0,0,0,76.001,148.003
23-07 14:19:05,8.874,2.875,86.490,0,0,9952056,45895676,696796,8034888,0,0,0,0,27.997,41.995
23-07 14:19:06,7.250,3.625,86.375,0,0,9952172,45895172,696796,8035268,0,48.000,0,5.000,0,0
23-07 14:19:07,7.750,3.500,86.500,0.250,0,9952332,45894680,696796,8035592,0,11391.978,0,49.000,0,0
23-07 14:19:08,8.125,3.250,86.503,0,0,9952144,45894428,696796,8036024,0,0,0,0,0,0
23-07 14:19:09,7.375,3.750,86.626,0,0,9951792,45894428,696796,8036368,0,0,0,0,28.000,42.001
23-07 14:19:10,7.749,3.000,86.866,0,0,9952384,45893420,696796,8036772,0,0,0,0,0,0
23-07 14:19:11,7.750,3.375,86.500,0,0,9952320,45893168,696796,8037080,0,0,0,0,0,0
23-07 14:19:12,7.875,3.250,86.625,0,0,9952368,45892664,696796,8037528,0,1939.997,0,11.000,0,58.000
23-07 14:19:13,7.750,3.375,86.375,0,0,9952292,45892412,696796,8037848,0,0,0,0,0,0
23-07 14:19:14,7.500,3.500,86.625,0,0,9952592,45891668,696796,8038280,0,0,0,0,0,0
