"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_mysql_run2.csv 1",,,,"Date:","23 Jul 2026 14:15:00 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:15:00,,9803140,47968120,695712,6032988,,,,
23-07 14:15:01,21.377,3.375,72.757,0,0,9806204,47965036,695728,6032992,0,136.014,0,11.001,214.022,1066.110
23-07 14:15:02,9.875,2.375,86.126,0,0,9807444,47963788,695732,6032996,0,16.000,0,3.000,0,0
23-07 14:15:03,9.874,2.500,86.118,0.250,0,9807444,47963788,695732,6032996,0,2099.819,0,19.998,0,0
23-07 14:15:04,10.126,2.250,86.258,0,0,9807444,47963788,695732,6032996,0,0,0,0,0,0
23-07 14:15:05,9.875,2.500,86.001,0,0,9807444,47963788,695732,6032996,0,0,0,0,0,0
23-07 14:15:06,9.750,2.375,86.251,0,0,9807696,47963536,695732,6032996,0,0,0,0,0,0
23-07 14:15:07,9.750,2.375,86.374,0,0,9807972,47963260,695732,6032996,0,20.000,0,2.000,0,0
23-07 14:15:08,9.375,2.625,86.251,0,0,9807972,47963260,695732,6032996,0,0,0,0,0,0
23-07 14:15:09,9.625,2.375,86.124,0,0,9807972,47963260,695732,6032996,0,0,0,0,0,0
23-07 14:15:10,10.250,2.250,86.250,0,0,9807972,47963260,695732,6032996,0,0,0,0,0,0
23-07 14:15:11,10.000,2.500,86.251,0,0,9807972,47963260,695732,6032996,0,0,0,0,0,0
23-07 14:15:12,9.374,2.750,86.490,0,0,9807972,47963260,695732,6032996,0,0,0,0,0,0
23-07 14:15:13,9.000,3.125,86.125,0,0,9808728,47962504,695732,6032996,0,0,0,0,0,0
23-07 14:15:14,9.251,2.625,86.008,0,0,9808860,47962372,695732,6032996,0,0,0,0,0,0
23-07 14:15:15,9.625,2.750,86.251,0,0,9808860,47962372,695732,6032996,0,0,0,0,0,0
23-07 14:15:16,9.000,3.125,86.125,0,0,9808860,47962372,695732,6032996,0,0,0,0,0,0
23-07 14:15:17,9.625,2.625,86.374,0,0,9809080,47962148,695732,6033000,0,0,0,0,75.999,89.999
23-07 14:15:18,9.250,2.625,86.127,0,0,9809076,47962148,695732,6033004,0,4.000,0,1.000,0,0
23-07 14:15:19,9.500,2.750,86.001,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:20,9.499,2.750,86.367,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:21,10.375,2.125,86.253,0,0,9809076,47962148,695732,6033004,0,8.000,0,2.000,0,0
23-07 14:15:22,9.750,2.500,86.124,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:23,9.875,2.375,86.500,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:24,9.500,2.750,85.999,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:25,9.875,2.625,86.254,0,0,9809076,47962148,695732,6033004,0,0,0,0,76.004,90.005
23-07 14:15:26,9.500,2.625,86.250,0,0,9809076,47962148,695732,6033004,0,40.000,0,1.000,0,0
23-07 14:15:27,9.500,2.500,86.126,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:28,9.375,3.000,86.000,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:29,9.750,2.750,86.375,0,0,9809076,47962148,695732,6033004,0,0,0,0,0,0
23-07 14:15:30,9.624,2.500,86.118,0,0,9809076,47962148,695732,6033004,0,0,0,0,27.998,41.997
