"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_postgresql_run2.csv 1",,,,"Date:","23 Jul 2026 14:18:13 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:18:13,,9947504,45979880,696776,7957324,,,,
23-07 14:18:14,14.626,3.875,80.378,0,0,9964464,45962736,696776,7957572,0,0,0,0,368.016,470.020
23-07 14:18:15,7.375,3.500,85.625,0.750,0,9964268,45962736,696780,7957760,0,41252.157,0,175.001,76.000,90.000
23-07 14:18:16,7.875,3.500,86.372,0,0,9963700,45962736,696780,7958316,0,0,0,0,0,0
23-07 14:18:17,7.625,3.375,86.873,0,0,9962144,45964080,696780,7958520,0,159.995,0,2.000,0,0
23-07 14:18:18,7.625,3.500,86.749,0,0,9960848,45964900,696780,7958984,0,0,0,0,0,0
23-07 14:18:19,7.500,3.750,86.501,0,0,9960552,45964900,696780,7959272,0,0,0,0,0,0
23-07 14:18:20,8.001,3.500,86.381,0,0,9960528,45964396,696780,7959788,0,1888.122,0,9.001,0,0
23-07 14:18:21,7.625,3.750,86.745,0,0,9960560,45964144,696784,7960000,0,103.994,0,14.999,0,0
23-07 14:18:22,7.875,3.500,86.127,0,0,9959316,45965036,696784,7960352,0,0,0,0,0,0
23-07 14:18:23,7.625,3.500,86.621,0,0,9956736,45967044,696784,7960900,0,0,0,0,0,0
23-07 14:18:24,8.750,2.875,85.877,0,0,9955248,45967044,696784,7962380,0,0,0,0,0,0
23-07 14:18:25,8.999,4.250,84.744,0.125,0,9952544,45966116,696784,7965888,0,6107.580,0,29.998,0,0
23-07 14:18:26,9.000,3.750,84.874,0,0,9949468,45966128,696784,7968892,0,283.996,0,6.000,0,0
23-07 14:18:27,8.375,4.250,85.001,0,0,9947076,45964616,696784,7972668,0,256.003,0,5.000,0,0
23-07 14:18:28,9.000,4.125,84.752,0,0,9947112,45961088,696784,7976056,0,256.007,0,5.000,0,0
23-07 14:18:29,8.626,3.875,85.008,0,0,9943636,45961088,696784,7979432,0,256.024,0,5.000,0,0
23-07 14:18:30,8.750,3.625,84.247,0,0,9951204,45950040,696784,7982824,0,247.992,0,7.000,0,0
23-07 14:18:31,9.749,4.250,83.118,0.250,0,9951656,45946272,696784,7986100,0,17454.425,0,79.993,75.993,89.992
23-07 14:18:32,7.875,4.375,85.751,0,0,9950724,45943560,696784,7989612,0,0,0,0,0,0
23-07 14:18:33,8.125,3.750,85.249,0,0,9949860,45940928,696784,7993004,0,511.997,0,63.000,0,0
23-07 14:18:34,8.876,2.750,86.758,0,0,9949668,45940280,696784,7993840,0,1536.144,0,192.018,0,0
23-07 14:18:35,7.500,4.125,86.124,0,0,9949548,45939668,696784,7994540,0,511.996,0,64.000,0,0
23-07 14:18:36,7.375,3.500,86.247,0.125,0,9949492,45939416,696784,7994828,0,11567.564,0,50.998,0,0
23-07 14:18:37,8.125,3.250,86.624,0,0,9949256,45939164,696792,7995292,0,24.000,0,2.000,0,0
23-07 14:18:38,7.375,3.750,86.625,0,0,9949376,45938660,696792,7995668,0,0,0,0,0,0
23-07 14:18:39,7.625,3.500,86.502,0,0,9949452,45938184,696792,7996056,0,0,0,0,0,0
23-07 14:18:40,7.500,3.500,86.498,0,0,9949568,45937680,696792,7996436,0,8.000,0,1.000,75.998,89.998
23-07 14:18:41,8.000,3.125,86.503,0.125,0,9949464,45937428,696796,7996780,0,1964.066,0,13.000,0,0
23-07 14:18:42,7.625,3.250,86.745,0,0,9949548,45936924,696796,7997192,0,0,0,0,0,0
23-07 14:18:43,8.000,3.750,86.499,0,0,9953196,45932892,696796,7997568,0,0,0,0,0,0
