"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_mysql_run1.csv 1",,,,"Date:","23 Jul 2026 14:09:02 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:09:02,,9688244,49350936,137520,5357452,,,,
23-07 14:09:03,0,0,99.871,0,0,9682676,49356460,137552,5357464,0,87.996,0,11.999,183.992,0
23-07 14:09:04,0.125,0,99.877,0,0,9677648,49361488,137552,5357464,0,0,0,0,0,0
23-07 14:09:05,0,0,100.000,0,0,9676296,49362840,137552,5357464,0,0,0,0,0,0
23-07 14:09:06,0,0.125,99.874,0,0,9676296,49362840,137552,5357464,0,0,0,0,75.999,89.999
23-07 14:09:07,0,0,99.751,0,0,9676296,49362840,137552,5357464,0,0,0,0,0,0
23-07 14:09:08,0,0,100.000,0,0,9676296,49362840,137552,5357464,0,0,0,0,0,0
23-07 14:09:09,0,0,99.875,0,0,9676296,49362840,137552,5357464,0,0,0,0,0,0
23-07 14:09:10,0.125,0.125,99.875,0,0,9674620,49364516,137552,5357464,0,0,0,0,0,0
23-07 14:09:11,0.125,0.125,99.749,0,0,9674732,49364404,137552,5357464,0,0,0,0,0,0
23-07 14:09:12,0,0,99.877,0,0,9674516,49364620,137552,5357464,0,0,0,0,0,0
23-07 14:09:13,0.125,0.125,99.746,0,0,9673220,49365916,137552,5357464,0,0,0,0,0,0
23-07 14:09:14,0,0,99.878,0,0,9673216,49365920,137552,5357464,0,0,0,0,0,0
23-07 14:09:15,0,0,100.000,0,0,9673392,49365744,137552,5357464,0,0,0,0,0,0
23-07 14:09:16,0.125,0.125,99.875,0,0,9670824,49368312,137552,5357464,0,0,0,0,0,0
23-07 14:09:17,0,0,99.873,0,0,9667788,49371348,137552,5357464,0,0,0,0,0,0
23-07 14:09:18,0,0,99.877,0,0,9665132,49374004,137552,5357464,0,0,0,0,0,0
23-07 14:09:19,0,0.125,100.001,0,0,9662808,49376328,137552,5357464,0,0,0,0,0,0
23-07 14:09:20,0,0,99.876,0,0,9662272,49376864,137552,5357464,0,0,0,0,0,0
23-07 14:09:21,0,0,99.871,0,0,9662272,49376864,137552,5357464,0,0,0,0,0,0
23-07 14:09:22,0,0,99.502,0,0,9662272,49376864,137552,5357464,0,0,0,0,76.001,90.002
23-07 14:09:23,0,0,100.001,0,0,9662272,49376864,137552,5357464,0,0,0,0,0,0
