"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_cassandra_run1.csv 1",,,,"Date:","23 Jul 2026 14:21:33 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:21:33,,9881348,45957124,698028,8042156,,,,
23-07 14:21:34,37.252,2.375,57.503,0.125,0,9919640,45917348,698592,8042944,0,5776.292,0,472.024,138.007,428.022
23-07 14:21:35,24.125,2.500,69.999,0,0,9951768,45884964,698592,8043200,0,0,0,0,0,0
23-07 14:21:36,24.373,2.375,70.120,0,0,9955584,45881020,698592,8043328,0,0,0,0,0,0
23-07 14:21:37,30.376,2.375,63.377,0,0,9959584,45876888,698592,8043460,0,0,0,0,0,0
23-07 14:21:38,32.496,2.250,61.243,0,0,9959800,45876416,698592,8043716,0,0,0,0,0,0
23-07 14:21:39,17.753,2.250,76.638,0,0,9959800,45876288,698600,8043836,0,60.010,0,2.000,0,0
23-07 14:21:40,5.250,2.500,88.507,0,0,9959792,45876032,698600,8044100,0,0,0,0,0,0
23-07 14:21:41,4.750,2.625,89.125,0,0,9959792,45875904,698600,8044228,0,0,0,0,0,0
23-07 14:21:42,5.000,2.375,88.628,0,0,9960016,45875424,698600,8044484,0,0,0,0,0,0
23-07 14:21:43,5.500,2.000,88.870,0,0,9960256,45875048,698608,8044612,0,1775.892,0,16.999,0,0
23-07 14:21:44,4.875,2.250,88.251,0.250,0,9962536,45872492,698612,8044868,0,3700.043,0,33.000,76.001,90.001
23-07 14:21:45,5.250,2.625,88.624,0,0,9962536,45872108,698612,8045252,0,8.000,0,2.000,0,0
23-07 14:21:46,4.875,2.500,89.004,0,0,9962536,45871852,698612,8045508,0,0,0,0,0,0
23-07 14:21:47,4.250,1.875,89.248,0,0,9962536,45871724,698612,8045636,0,0,0,0,0,0
23-07 14:21:48,4.875,2.125,89.001,0,0,9962532,45871596,698616,8045764,0,284.004,0,4.000,0,0
23-07 14:21:49,4.625,2.250,88.748,0,0,9962532,45871212,698616,8046148,0,0,0,0,0,0
23-07 14:21:50,4.875,2.125,88.623,0,0,9962520,45870956,698616,8046408,0,135.996,0,30.999,0,0
23-07 14:21:51,4.250,2.375,89.254,0,0,9962520,45870828,698616,8046536,0,0,0,0,0,0
23-07 14:21:52,10.498,2.125,84.361,0,0,9962512,45870572,698616,8046796,0,0,0,0,0,0
23-07 14:21:53,4.501,2.125,89.144,0,0,9962556,45870076,698616,8047244,0,2836.595,0,25.005,76.016,90.019
23-07 14:21:54,4.750,2.250,88.875,0,0,9962556,45870204,698616,8047116,0,212.000,0,1.000,0,0
23-07 14:21:55,27.745,2.250,65.364,0,0,10010528,45822004,698620,8047340,0,31.995,0,3.999,0,0
23-07 14:21:56,7.250,2.375,86.630,0,0,10010644,45821496,698620,8047732,0,0,0,0,0,0
23-07 14:21:57,4.000,2.125,89.127,0,0,10010640,45821240,698620,8047988,0,0,0,0,0,0
23-07 14:21:58,4.375,2.375,88.877,0,0,10010636,45820984,698620,8048244,0,16.000,0,1.000,0,0
23-07 14:21:59,4.875,2.250,89.118,0,0,10010628,45820728,698620,8048500,0,0,0,0,75.994,89.993
23-07 14:22:00,4.375,2.250,86.880,1.875,0,10010620,45820472,698624,8048752,0,92237.748,0,376.023,76.005,90.006
23-07 14:22:01,4.625,2.250,89.123,0,0,10010616,45820344,698624,8048884,0,0,0,0,0,0
23-07 14:22:02,4.500,2.250,88.880,0,0,10010616,45820344,698624,8048884,0,0,0,0,0,0
23-07 14:22:03,5.500,2.000,89.122,0,0,10010408,45820088,698628,8049332,0,2395.921,0,22.999,0,0
23-07 14:22:04,5.375,2.500,87.752,0,0,10012164,45818132,698628,8049524,0,168.003,0,20.000,28.001,42.001
23-07 14:22:05,5.875,2.750,88.003,0.250,0,10012152,45817876,698632,8049784,0,15604.586,0,66.002,0,0
23-07 14:22:06,4.375,2.625,88.998,0,0,10012124,45817748,698784,8049768,0,747.981,0,76.998,0,0
23-07 14:22:07,4.625,2.250,88.624,0,0,10011956,45817364,698784,8050304,0,0,0,0,0,0
